ContextType,ContextLabel,TargetModel,Dose,MeanPIER,StdPIER,NumEvalPoints,NumFitPoints,ContextRawSize
length,len_medium_(8-15),XLNet,0.7000000000000001,0.138102686723289,0.1470749482061427,100,1000,246
length,len_medium_(8-15),XLNet,0.8,0.13487789197152233,0.13716003432624185,100,1000,246
length,len_medium_(8-15),XLNet,0.9,0.15892605326017453,0.11720696037051627,100,1000,246
sentiment,sent_strong_negative_(p<=0.2),BERT,0.0,0.06031980370376257,0.1561070174645198,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.1,0.06214703944683775,0.13921228811144865,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.2,0.06571411408655108,0.12940766053233135,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.30000000000000004,0.12406588144638667,0.16311474342810212,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.4,0.13959671515053113,0.15878488187511064,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.5,0.18186301992127774,0.17664897060100793,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.6000000000000001,0.17755560594793715,0.180502802188108,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.7000000000000001,0.19636588384458306,0.17916859873795032,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.8,0.22931341827255097,0.16756596621757838,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),BERT,0.9,0.22457355320005415,0.16141519367262208,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.0,0.3360387162907879,0.21196316056561704,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.1,0.3434321958647931,0.18457963218116574,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.2,0.3559405909934108,0.14795383431206952,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.30000000000000004,0.18029699795558815,0.15161314013878022,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.4,0.11171533324792084,0.1070045519671021,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.5,0.10316488055293678,0.08604093838923964,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.6000000000000001,0.11777189201620467,0.09532098749552038,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.7000000000000001,0.14813148596887493,0.11340212997143591,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.8,0.22030505463667122,0.13401837669014505,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),DistilBERT,0.9,0.30385163361669987,0.12524921990765803,100,1000,406
