ContextType,ContextLabel,TargetModel,Dose,MeanDisagreement,StdDisagreement,NumPoints,ContextRawSize
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.7000000000000001,0.30636331901943775,0.09596048984465488,200,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.8,0.30897539271361896,0.0907093373753825,200,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.9,0.353847466505249,0.09505378775338173,200,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.0,0.1961801778152585,0.13600389703704083,200,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.1,0.19754068319511134,0.12569645102918994,200,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.2,0.21534152983993407,0.12252999763296592,200,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.30000000000000004,0.36727051847716213,0.0962078681150944,200,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.4,0.37499998998915546,0.08228051694935275,200,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.5,0.36861533076618797,0.09053856927908104,200,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.6000000000000001,0.3509332676272606,0.10100503772396377,200,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.7000000000000001,0.3390006372568314,0.10166986452614403,200,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.8,0.33658802116144215,0.09988038141822794,200,438
sentiment,sent_strong_positive_(p>=0.8),ALBERT,0.9,0.3262892996758455,0.0901424139583699,200,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.0,0.1775120479625184,0.09943992401302602,200,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.1,0.1838831636973191,0.09524508652260431,200,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.2,0.20582672883130726,0.11426491816647441,200,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.30000000000000004,0.2719968954513024,0.07746515792807823,200,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.4,0.29933556797273925,0.07507375796743254,200,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.5,0.2972677040504641,0.08798584440149168,200,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.6000000000000001,0.2872209354647202,0.09231364645133033,200,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.7000000000000001,0.28391717002697986,0.0954865087535002,200,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.8,0.282487154325645,0.0811647951179122,200,438
sentiment,sent_strong_positive_(p>=0.8),XLNet,0.9,0.28604982306365856,0.08636781776324172,200,438
negation,has_negation,BERT,0.0,0.16349766766913218,0.12803803575504594,197,197
negation,has_negation,BERT,0.1,0.18678104492584846,0.14998428309066078,197,197
negation,has_negation,BERT,0.2,0.1945653854971465,0.1452169451137142,197,197
negation,has_negation,BERT,0.30000000000000004,0.2675631378095084,0.11557056805656947,197,197
negation,has_negation,BERT,0.4,0.2697475047184179,0.11384173740522406,197,197
negation,has_negation,BERT,0.5,0.2803854840394845,0.130574539863331,197,197
negation,has_negation,BERT,0.6000000000000001,0.2821853949032726,0.1190986665626867,197,197
negation,has_negation,BERT,0.7000000000000001,0.2862370488123654,0.12332951116722037,197,197
negation,has_negation,BERT,0.8,0.3108972016908701,0.13129841146023,197,197
negation,has_negation,BERT,0.9,0.3694886565267529,0.1404640666680181,197,197
negation,has_negation,DistilBERT,0.0,0.40293711007951355,0.21410122865922818,197,197
negation,has_negation,DistilBERT,0.1,0.41211657601598944,0.15706172979499436,197,197
negation,has_negation,DistilBERT,0.2,0.4015133865748258,0.1419429403769666,197,197
negation,has_negation,DistilBERT,0.30000000000000004,0.3367845327473721,0.10563744175967787,197,197
